date,sym,price,size,qualifier,extime
2014-02-13,RIO.AX,67.84,400,,15:40:11.394
2014-02-13,RIO.AX,67.84,101,,15:40:11.394
2014-02-13,RIO.AX,67.88,1,,15:40:11.426
2014-02-13,RIO.AX,67.88,35,,15:40:11.426
2014-02-13,RIO.AX,67.88,130,,15:40:11.426
2014-02-13,RIO.AX,67.88,69,,15:40:11.426
2014-02-13,RIO.AX,67.88,35,,15:40:11.644
2014-02-13,RIO.AX,67.88,130,,15:40:11.644
2014-02-13,RIO.AX,67.88,69,,15:40:11.644
2014-02-13,RIO.AX,67.88,69,,15:40:11.644
2014-02-13,RIO.AX,67.88,656,,15:40:11.644
2014-02-13,RIO.AX,67.88,69,,15:40:11.644
2014-02-13,RIO.AX,67.86,1,,15:40:11.769
2014-02-13,RIO.AX,67.88,35,,15:40:11.831
2014-02-13,RIO.AX,67.88,106,,15:40:11.863
2014-02-13,RIO.AX,67.88,24,,15:40:16.699
2014-02-13,RIO.AX,67.88,35,,15:40:16.699
2014-02-13,RIO.AX,67.88,41,,15:40:16.699
2014-02-13,RIO.AX,67.84,185,,15:40:16.730
2014-02-13,RIO.AX,67.87,59,,15:40:19.101
2014-02-13,RIO.AX,67.87,69,,15:40:19.132
2014-02-13,RIO.AX,67.87,45,,15:40:19.132
2014-02-13,RIO.AX,67.855,94,CX,15:40:39.943
2014-02-13,RIO.AX,67.86,35,,15:40:39.943
2014-02-13,RIO.AX,67.86,130,XT,15:40:39.943
2014-02-13,RIO.AX,67.86,6,,15:40:40.036
2014-02-13,RIO.AX,67.86,28,,15:40:40.067
2014-02-13,RIO.AX,67.85,1,CX,15:40:42.033
2014-02-13,RIO.AX,67.84,267,,15:40:42.064
2014-02-13,RIO.AX,67.85,50,,15:40:47.181
2014-02-13,RIO.AX,67.85,134,,15:40:47.212
2014-02-13,RIO.AX,67.85,2,,15:40:47.618
2014-02-13,RIO.AX,67.85,14,,15:40:47.649
2014-02-13,RIO.AX,67.855,46,CX,15:40:47.711
2014-02-13,RIO.AX,67.85,166,,15:40:47.743
2014-02-13,RIO.AX,67.85,200,,15:40:47.743
2014-02-13,RIO.AX,67.85,13,,15:40:47.743
2014-02-13,RIO.AX,67.86,13,,15:40:49.927
2014-02-13,RIO.AX,67.86,100,,15:40:49.927
2014-02-13,RIO.AX,67.86,104,,15:40:50.145
2014-02-13,RIO.AX,67.86,78,,15:40:50.176
2014-02-13,RIO.AX,67.86,46,CX,15:40:51.299
2014-02-13,RIO.AX,67.85,1,,15:40:51.830
2014-02-13,RIO.AX,67.85,78,,15:41:00.067
2014-02-13,RIO.AX,67.85,324,,15:41:05.714
2014-02-13,RIO.AX,67.85,144,,15:41:05.714
2014-02-13,RIO.AX,67.85,156,,15:41:05.714
2014-02-13,RIO.AX,67.85,34,,15:41:06.431
2014-02-13,RIO.AX,67.85,13,XT,15:41:06.431
2014-02-13,RIO.AX,67.85,1,,15:41:06.431
2014-02-13,RIO.AX,67.85,82,,15:41:06.431
2014-02-13,RIO.AX,67.86,69,,15:41:06.431
2014-02-13,RIO.AX,67.86,82,,15:41:06.431
2014-02-13,RIO.AX,67.86,82,,15:41:06.463
2014-02-13,RIO.AX,67.86,1,,15:41:06.463
2014-02-13,RIO.AX,67.86,68,,15:41:06.463
2014-02-13,RIO.AX,67.86,149,,15:41:14.949
2014-02-13,RIO.AX,67.855,39,NXXT,15:41:14.980
2014-02-13,RIO.AX,67.855,6,CX,15:41:14.980
2014-02-13,RIO.AX,67.855,50,CX,15:41:18.256
2014-02-13,RIO.AX,67.85,900,,15:41:18.287
2014-02-13,RIO.AX,67.85,140,,15:41:18.319
2014-02-13,RIO.AX,67.85,110,,15:41:18.350
2014-02-13,RIO.AX,67.85,10,,15:41:19.567
2014-02-13,RIO.AX,67.86,34,,15:41:23.279
2014-02-13,RIO.AX,67.87,10,,15:41:25.588
2014-02-13,RIO.AX,67.87,1,,15:41:25.588
2014-02-13,RIO.AX,67.87,5,,15:41:25.619
2014-02-13,RIO.AX,67.87,12,,15:41:25.619
2014-02-13,RIO.AX,67.86,186,,15:41:26.275
2014-02-13,RIO.AX,67.86,542,,15:41:26.275
2014-02-13,RIO.AX,67.86,320,,15:41:26.275
2014-02-13,RIO.AX,67.86,3,,15:41:26.275
2014-02-13,RIO.AX,67.86,99,,15:41:26.275
2014-02-13,RIO.AX,67.86,2,,15:41:26.275
2014-02-13,RIO.AX,67.86,69,,15:41:26.275
2014-02-13,RIO.AX,67.85,29,,15:41:26.275
2014-02-13,RIO.AX,67.86,104,,15:41:26.680
2014-02-13,RIO.AX,67.86,34,,15:41:26.680
2014-02-13,RIO.AX,67.86,21,,15:41:26.680
2014-02-13,RIO.AX,67.85,272,,15:41:26.680
2014-02-13,RIO.AX,67.87,21,,15:41:26.711
2014-02-13,RIO.AX,67.85,176,,15:41:27.023
2014-02-13,RIO.AX,67.86,1,,15:41:31.485
2014-02-13,RIO.AX,67.86,34,,15:41:31.485
2014-02-13,RIO.AX,67.86,108,,15:41:31.547
2014-02-13,RIO.AX,67.865,1,CX,15:41:35.697
2014-02-13,RIO.AX,67.865,1,CX,15:41:35.853
2014-02-13,RIO.AX,67.86,1000,,15:41:36.259
2014-02-13,RIO.AX,67.86,125,,15:41:36.321
2014-02-13,RIO.AX,67.86,157,,15:41:36.321
2014-02-13,RIO.AX,67.86,800,,15:41:41.313
2014-02-13,RIO.AX,67.86,167,,15:41:41.344
2014-02-13,RIO.AX,67.86,108,,15:41:44.963
2014-02-13,RIO.AX,67.86,4,,15:41:44.995
2014-02-13,RIO.AX,67.86,22,,15:41:44.995
2014-02-13,RIO.AX,67.86,4,,15:41:44.995
2014-02-13,RIO.AX,67.86,18,,15:41:44.995
2014-02-13,RIO.AX,67.86,86,,15:41:44.995
2014-02-13,RIO.AX,67.86,12,,15:41:44.995
2014-02-13,RIO.AX,67.86,154,,15:41:44.995
2014-02-13,RIO.AX,67.86,203,,15:41:45.525
2014-02-13,RIO.AX,67.86,16,,15:41:45.525
2014-02-13,RIO.AX,67.86,2,,15:41:45.525
2014-02-13,RIO.AX,67.86,83,,15:41:45.525
2014-02-13,RIO.AX,67.86,2,CX,15:41:45.962
2014-02-13,RIO.AX,67.86,431,CX,15:41:46.586
2014-02-13,RIO.AX,67.86,99,,15:41:46.679
2014-02-13,RIO.AX,67.86,8,,15:41:59.877
2014-02-13,RIO.AX,67.86,3,,15:41:59.877
2014-02-13,RIO.AX,67.86,1,,15:41:59.877
2014-02-13,RIO.AX,67.86,13,,15:41:59.877
2014-02-13,RIO.AX,67.86,3,,15:41:59.877
2014-02-13,RIO.AX,67.86,83,,15:41:59.877
2014-02-13,RIO.AX,67.86,53,,15:41:59.877
2014-02-13,RIO.AX,67.86,101,,15:41:59.939
2014-02-13,RIO.AX,67.86,10,,15:42:00.095
2014-02-13,RIO.AX,67.865,48,CX,15:42:03.964
2014-02-13,RIO.AX,67.86,78,,15:42:04.963
2014-02-13,RIO.AX,67.86,289,,15:42:08.613
2014-02-13,RIO.AX,67.86,94,,15:42:09.144
2014-02-13,RIO.AX,67.86,20,,15:42:11.608
2014-02-13,RIO.AX,67.86,80,,15:42:11.608
2014-02-13,RIO.AX,67.86,1,,15:42:14.947
2014-02-13,RIO.AX,67.86,1,,15:42:14.947
2014-02-13,RIO.AX,67.86,198,,15:42:14.947
2014-02-13,RIO.AX,67.86,4,,15:42:19.876
